IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN11815_c0_g1	305.9026723	2.28070325	0.241958188	1.15E-24	9.54E-22
TRINITY_DN233_c2_g1	695.3045355	2.0823993	0.127033427	1.38E-63	4.58E-60
TRINITY_DN5608_c0_g1	12.7715007	1.827216175	0.522355598	1.33E-07	1.12E-05
TRINITY_DN857_c0_g1	797.4089983	1.645541187	0.098872504	8.25E-65	5.49E-61
TRINITY_DN189_c7_g1	63.07628988	1.632232651	0.239911249	2.25E-14	5.55E-12
TRINITY_DN1469_c0_g1	539.3861799	1.62839896	0.120904557	6.13E-44	1.36E-40
TRINITY_DN965_c1_g1	201.8830938	1.577018708	0.159719901	1.68E-25	1.60E-22
TRINITY_DN2550_c0_g1	45.08315277	1.501570366	0.258776415	2.64E-11	4.88E-09
TRINITY_DN2375_c0_g1	105.5972616	1.445935874	0.17423401	6.31E-19	2.80E-16
TRINITY_DN7252_c0_g1	133.5985282	1.325827266	0.181720854	3.59E-15	1.14E-12
TRINITY_DN4564_c1_g4	21.99073013	1.310158406	0.344133854	8.22E-07	5.47E-05
TRINITY_DN4325_c0_g1	234.1294947	1.296480187	0.140446264	4.04E-22	2.69E-19
TRINITY_DN792_c0_g1	58.23710301	1.286209006	0.230297449	3.28E-10	4.83E-08
TRINITY_DN332_c0_g1	40.97493991	1.276203529	0.280538846	6.20E-08	5.50E-06
TRINITY_DN6083_c0_g1	30.07057668	1.229260302	0.304853397	5.93E-07	4.07E-05
TRINITY_DN23_c0_g2	31.93842627	1.229122105	0.277010512	1.29E-07	1.10E-05
TRINITY_DN511_c0_g2	342.3904394	1.201630739	0.113893331	1.43E-27	1.91E-24
TRINITY_DN10086_c1_g1	58.00533907	1.199560642	0.246282609	2.24E-08	2.30E-06
TRINITY_DN228_c1_g1	25.08119145	1.169657207	0.337988258	4.39E-06	0.000245342
TRINITY_DN5792_c0_g1	15.84990271	1.163022779	0.449288681	2.68E-05	0.001135635
TRINITY_DN7400_c1_g1	48.46784132	1.156243602	0.236937184	2.73E-08	2.67E-06
TRINITY_DN2827_c0_g1	45.74158736	1.131643383	0.230039942	2.59E-08	2.57E-06
TRINITY_DN27545_c0_g1	9.807567436	1.115325172	0.574574205	6.59E-05	0.002372197
TRINITY_DN5083_c0_g1	449.6318959	1.108698019	0.140182008	1.27E-16	4.96E-14
TRINITY_DN30034_c0_g1	4.641497365	1.106693712	0.969181425	1.42E-06	NA
TRINITY_DN24119_c0_g1	34.11072643	1.106448788	0.263382032	5.90E-07	4.07E-05
TRINITY_DN280_c1_g1	394.7730804	1.104114591	0.111433522	2.00E-24	1.48E-21
TRINITY_DN2151_c0_g1	99.70016684	1.100502955	0.166505713	1.86E-12	3.75E-10
TRINITY_DN6410_c0_g3	39.31218123	1.086501548	0.255463014	5.32E-07	3.77E-05
TRINITY_DN3091_c0_g1	20.40772874	1.083651116	0.365032965	1.97E-05	0.000874466
TRINITY_DN623_c0_g1	46.54392184	1.0491475	0.237250238	3.27E-07	2.53E-05
TRINITY_DN906_c0_g2	680.6861422	1.033896857	0.13509471	1.47E-15	5.44E-13
TRINITY_DN2403_c0_g1	58.53501131	1.030032089	0.207731163	3.52E-08	3.40E-06
TRINITY_DN4319_c0_g2	17.55769999	1.024609871	0.396003582	5.16E-05	0.001964722
TRINITY_DN2927_c3_g1	75.0342428	1.022726358	0.225373139	2.29E-07	1.86E-05
TRINITY_DN1296_c0_g1	497.4192904	1.005911906	0.135108552	8.36E-15	2.53E-12
TRINITY_DN563_c0_g2	31.03997324	0.988627913	0.282298563	8.03E-06	0.000405166
TRINITY_DN1896_c0_g1	20.49550434	0.987183541	0.388889411	6.58E-05	0.002372197
TRINITY_DN410_c0_g1	160.6743832	0.979632082	0.169713737	6.30E-10	8.39E-08
TRINITY_DN970_c0_g1	30.46551908	0.976385284	0.306648583	1.85E-05	0.000836579
TRINITY_DN1568_c0_g1	23.01767278	0.974590176	0.392969035	7.66E-05	0.002686257
TRINITY_DN29513_c0_g1	119.5352213	0.974176279	0.165399781	3.27E-10	4.83E-08
TRINITY_DN132_c2_g1	438.7101918	0.966156977	0.108221563	4.87E-20	2.49E-17
TRINITY_DN437_c0_g1	814.2773151	0.959304395	0.103715739	2.63E-21	1.59E-18
TRINITY_DN1101_c0_g1	237.5021231	0.958541739	0.130105484	1.89E-14	4.84E-12
TRINITY_DN10114_c0_g1	104.9088323	0.941823581	0.172678877	4.17E-09	4.96E-07
TRINITY_DN2000_c0_g1	24.67227902	0.940856955	0.353367549	6.29E-05	0.002325772
TRINITY_DN1967_c1_g1	21.78902185	0.93883628	0.367066412	7.71E-05	0.002686257
TRINITY_DN725_c0_g1	105.253298	0.937471459	0.203242571	2.21E-07	1.82E-05
TRINITY_DN11678_c0_g1	23.44240931	0.936482914	0.374580237	8.62E-05	0.002913166
TRINITY_DN14522_c0_g1	35.55016545	0.930151305	0.289628835	1.98E-05	0.000874466
TRINITY_DN12574_c0_g1	27.01863504	0.909831173	0.324751162	5.28E-05	0.001996277
TRINITY_DN3216_c0_g1	29.77225471	0.894510805	0.347158639	8.70E-05	0.002914127
TRINITY_DN908_c0_g1	17.87858794	0.880169359	0.424653409	0.00021393	0.006192806
TRINITY_DN1211_c0_g1	19.19624374	0.875386789	0.397456809	0.000180182	0.005403828
TRINITY_DN10614_c0_g1	115.8746114	0.872813042	0.151650787	9.74E-10	1.25E-07
TRINITY_DN4439_c0_g1	289.8250877	0.870890266	0.118431321	2.94E-14	7.00E-12
TRINITY_DN8098_c0_g1	34.29071412	0.867372615	0.285161326	3.45E-05	0.001385025
TRINITY_DN4342_c0_g1	477.4409911	0.838059125	0.109159403	2.79E-15	9.28E-13
TRINITY_DN2332_c1_g1	29.53055304	0.834410251	0.332052992	0.000118394	0.003789753
TRINITY_DN2952_c0_g1	301.6749543	0.83044728	0.111055451	1.29E-14	3.58E-12
TRINITY_DN117_c0_g1	161.1791408	0.829918239	0.1539838	7.22E-09	8.29E-07
TRINITY_DN4218_c0_g1	65.42381522	0.820575058	0.208077724	2.93E-06	0.00017104
TRINITY_DN4204_c0_g1	334.6239496	0.818149561	0.100906922	9.56E-17	3.98E-14
TRINITY_DN432_c0_g1	152.1047168	0.817011536	0.13795991	4.04E-10	5.60E-08
TRINITY_DN1046_c1_g1	44.54585505	0.816969345	0.282811101	5.44E-05	0.002046862
TRINITY_DN17084_c0_g1	18.60159818	0.813348709	0.416549968	0.000338909	0.008814283
TRINITY_DN5683_c0_g1	65.4805745	0.804431875	0.209586776	4.11E-06	0.000235752
TRINITY_DN720_c3_g1	196.6820698	0.803944837	0.123917269	1.30E-11	2.48E-09
TRINITY_DN44_c3_g1	25.31389885	0.796040968	0.339430267	0.000183838	0.005439958
TRINITY_DN5590_c0_g1	38.03270976	0.795867318	0.293372184	8.46E-05	0.002887555
TRINITY_DN2433_c0_g1	387.9694336	0.789601908	0.11196316	2.96E-13	6.57E-11
TRINITY_DN819_c0_g1	113.7660042	0.771646569	0.161186514	1.16E-07	1.00E-05
TRINITY_DN15543_c0_g1	18.9178068	0.7675322	0.4156327	0.000478804	0.011939618
TRINITY_DN2439_c0_g1	28.36068882	0.763816938	0.338803543	0.000240376	0.006640755
TRINITY_DN451_c0_g3	14.90032421	0.756272568	0.48104343	0.000673766	0.015685085
TRINITY_DN2158_c0_g1	43.55775736	0.750840374	0.266056124	6.96E-05	0.002492533
TRINITY_DN16106_c0_g1	38.48791201	0.743118351	0.287267624	0.000122919	0.003897104
TRINITY_DN2108_c0_g1	98.3535218	0.73338427	0.169660369	6.92E-07	4.70E-05
TRINITY_DN2201_c0_g1	94.58036934	0.731545202	0.179652071	1.72E-06	0.000105057
TRINITY_DN8746_c0_g1	13.09688034	0.729845831	0.481039659	0.000809086	0.018385307
TRINITY_DN734_c0_g1	99.07181599	0.726003661	0.175697814	1.37E-06	8.52E-05
TRINITY_DN3835_c1_g1	48.99892028	0.722058435	0.267974604	9.76E-05	0.003199935
TRINITY_DN1591_c0_g1	1452.230962	0.716808361	0.120971453	3.34E-10	4.83E-08
TRINITY_DN111_c2_g1	12.05226985	0.712943779	0.51369195	0.000920905	0.020102911
TRINITY_DN6344_c1_g1	96.44269696	0.707126592	0.193001679	6.39E-06	0.000335174
TRINITY_DN3352_c0_g1	49.23507649	0.705291112	0.252370281	7.67E-05	0.002686257
TRINITY_DN16846_c1_g1	63.95346948	0.701234247	0.226351268	3.42E-05	0.001378067
TRINITY_DN9620_c0_g1	12.36990697	0.691999181	0.487210637	0.001055321	0.022235203
TRINITY_DN84_c0_g2	587.9996564	0.687180727	0.092628871	1.70E-14	4.52E-12
TRINITY_DN3300_c0_g1	233.5836337	0.681748559	0.128825691	8.11E-09	9.00E-07
TRINITY_DN12170_c0_g1	12.98039193	0.678517005	0.494981178	0.001158065	0.023724289
TRINITY_DN20542_c0_g1	644.5190961	0.659158091	0.105401423	3.51E-11	6.31E-09
TRINITY_DN9040_c0_g1	7.696287786	0.658503436	0.576083705	0.00104292	0.022113885
TRINITY_DN103_c0_g2	493.8975442	0.656073178	0.130592802	2.51E-08	2.53E-06
TRINITY_DN4007_c0_g1	132.1550603	0.655844075	0.17540619	4.32E-06	0.000245342
TRINITY_DN386_c1_g1	1404.166463	0.650762536	0.094983517	7.22E-13	1.50E-10
TRINITY_DN1151_c1_g1	15.32064764	0.649394166	0.439359357	0.001302658	0.026226416
TRINITY_DN3041_c0_g1	57.96677641	0.648486229	0.236166067	8.71E-05	0.002914127
TRINITY_DN1000_c0_g1	55.58406773	0.64477095	0.246856612	0.000124584	0.003931199
TRINITY_DN4051_c0_g1	11.39303631	0.643872952	0.494937109	0.001453171	0.028540447
TRINITY_DN1961_c0_g1	143.6558089	0.63838683	0.145455898	3.56E-07	2.69E-05
TRINITY_DN2559_c0_g2	12.70206009	0.634129188	0.464032587	0.001535369	0.029890312
TRINITY_DN23631_c0_g1	14.85821218	0.629699283	0.455097593	0.001562764	0.030095523
TRINITY_DN562_c0_g1	25.56528653	0.628308877	0.372217503	0.001067945	0.022316019
TRINITY_DN1230_c0_g1	48.81717089	0.625845699	0.261982608	0.000224053	0.006320951
TRINITY_DN830_c0_g1	400.0030999	0.620442029	0.10160663	6.09E-11	1.07E-08
TRINITY_DN3420_c0_g1	37.26702381	0.616626696	0.301640073	0.000526976	0.012946875
TRINITY_DN3997_c1_g1	17.21260316	0.610754144	0.410537632	0.001563991	0.030095523
TRINITY_DN11537_c0_g1	6.464982904	0.606176407	0.605390833	0.001017853	NA
TRINITY_DN12527_c1_g1	8.474443858	0.599861348	0.530878989	0.001747168	0.03304728
TRINITY_DN293_c0_g1	30.74898265	0.598977431	0.325372689	0.00086606	0.019349749
TRINITY_DN2861_c0_g1	60.02871267	0.597010928	0.242584176	0.000187354	0.005519491
TRINITY_DN6224_c0_g1	54.28454041	0.583541822	0.255838165	0.00030537	0.008004541
TRINITY_DN958_c0_g2	31.138137	0.583193734	0.317470782	0.0009096	0.020021134
TRINITY_DN233_c0_g2	268.4115956	0.582881295	0.117006669	1.71E-08	1.78E-06
TRINITY_DN199_c0_g1	177.9485982	0.58026825	0.143211991	9.54E-07	6.22E-05
TRINITY_DN2858_c0_g1	105.5003239	0.575944063	0.176463731	1.61E-05	0.000751228
TRINITY_DN3756_c2_g1	107.1193293	0.571718654	0.183405575	2.58E-05	0.001100877
TRINITY_DN9283_c0_g1	60.42594795	0.571186985	0.236165014	0.000211221	0.006141099
TRINITY_DN6301_c0_g3	61.27521226	0.570521329	0.278150004	0.000560612	0.013572918
TRINITY_DN10249_c0_g1	8.516641316	0.568436933	0.531590411	0.002051173	0.037621797
TRINITY_DN4321_c0_g1	52.69311313	0.568332053	0.262686504	0.00042144	0.010588491
TRINITY_DN2446_c0_g1	130.8628414	0.56720572	0.182169498	2.58E-05	0.001100877
TRINITY_DN19732_c0_g1	8.285181272	0.561623163	0.519246653	0.002250268	0.040712729
TRINITY_DN3577_c0_g1	198.2667952	0.558361099	0.147165788	2.27E-06	0.000136249
TRINITY_DN2482_c0_g1	14.36517123	0.549239944	0.435054392	0.002709111	0.046728648
TRINITY_DN406_c0_g1	95.21691482	0.542960625	0.184800763	4.31E-05	0.0017097
TRINITY_DN31630_c0_g1	13.63051898	0.542347241	0.454458666	0.002897409	0.048996896
TRINITY_DN6681_c0_g1	11.12462465	0.529741815	0.461623082	0.003151618	0.051683432
TRINITY_DN1224_c0_g1	54.33362221	0.524148925	0.258220905	0.000634419	0.014934731
TRINITY_DN1952_c0_g1	145.2027268	0.519055046	0.161033331	1.55E-05	0.000728107
TRINITY_DN2274_c0_g1	92.04480838	0.510718704	0.23105389	0.000390932	0.010049517
TRINITY_DN9810_c0_g1	110.3887914	0.500124648	0.184779767	8.61E-05	0.002913166
TRINITY_DN7158_c0_g1	105.9626548	0.499578023	0.197370333	0.000150293	0.004611307
TRINITY_DN8517_c0_g1	66.14006555	0.496738685	0.245991441	0.000680585	0.015788634
TRINITY_DN505_c0_g2	232.3872178	0.491672148	0.138033687	4.04E-06	0.000233953
TRINITY_DN4124_c0_g1	47.73382969	0.491473464	0.263149659	0.001035209	0.022055416
TRINITY_DN2654_c0_g1	17.23311966	0.487505129	0.395403302	0.003982584	0.06193588
TRINITY_DN18923_c0_g1	126.824581	0.485013061	0.177438549	7.80E-05	0.00270653
TRINITY_DN687_c0_g1	90.54309261	0.481627237	0.204310768	0.000258569	0.007026733
TRINITY_DN1267_c0_g1	56.91052784	0.480991218	0.25858403	0.001080457	0.022480269
TRINITY_DN2395_c0_g1	92.09327881	0.474973652	0.212954457	0.000381947	0.009856612
TRINITY_DN10341_c3_g1	6.852874646	0.474710421	0.5171689	0.003405148	NA
TRINITY_DN3776_c0_g1	128.6109452	0.473398122	0.181456249	0.000117172	0.003768752
TRINITY_DN598_c0_g1	47.80712642	0.470286216	0.264240855	0.001370365	0.02731704
TRINITY_DN264_c1_g1	64.33284369	0.465284155	0.2401784	0.000905645	0.020021134
TRINITY_DN3064_c0_g1	104.984956	0.461320954	0.186584247	0.000183018	0.005439893
TRINITY_DN31943_c0_g1	2.780473053	0.460935991	0.6603297	0.000109064	NA
TRINITY_DN2427_c2_g1	57.23587151	0.456782732	0.289502089	0.002369304	0.042157779
TRINITY_DN1786_c1_g1	37.80324809	0.455755703	0.302309034	0.00280292	0.048097526
TRINITY_DN307_c2_g1	23.10485511	0.454697378	0.356665469	0.004473478	0.067233452
TRINITY_DN13288_c0_g1	4.928770339	0.454038699	0.563714067	0.002022293	NA
TRINITY_DN1542_c0_g1	15.03804402	0.451325738	0.410421437	0.005518623	0.0785104
TRINITY_DN5471_c0_g2	5.747049823	0.450885663	0.525860431	0.003370528	NA
TRINITY_DN3206_c0_g2	58.27729287	0.448322572	0.237000293	0.001069211	0.022316019
TRINITY_DN1152_c0_g1	136.1706947	0.447894745	0.170786758	0.000113322	0.003662609
TRINITY_DN18227_c0_g1	163.2870615	0.446427471	0.15482979	4.64E-05	0.001784217
TRINITY_DN3852_c0_g1	30.6936071	0.442625507	0.314742086	0.003685184	0.058142067
TRINITY_DN2081_c0_g1	226.5497174	0.438263593	0.155857926	5.99E-05	0.002238694
TRINITY_DN1797_c0_g1	72.87840647	0.432943683	0.239655308	0.001410611	0.028035358
TRINITY_DN12507_c0_g1	34.46088432	0.432594598	0.292349047	0.003255751	0.053129385
TRINITY_DN1733_c0_g1	6.285195826	0.429275201	0.500381526	0.004577625	NA
TRINITY_DN4358_c0_g1	8.020748212	0.428951559	0.472609137	0.005603887	0.079141214
TRINITY_DN2747_c1_g1	35.84849053	0.428433513	0.294619381	0.003509105	0.056162554
TRINITY_DN13074_c0_g1	26.12169693	0.426851838	0.323528893	0.00471248	0.069879046
TRINITY_DN8104_c0_g1	349.7885107	0.423980986	0.127288932	8.88E-06	0.000441332
TRINITY_DN80_c0_g3	27.6869324	0.421358914	0.334392438	0.005406167	0.077407015
TRINITY_DN531_c0_g1	51.71990317	0.417813182	0.246421941	0.00199805	0.036748671
TRINITY_DN15151_c0_g1	6.028291575	0.417032351	0.500081816	0.004753147	NA
TRINITY_DN15318_c0_g1	19.27414167	0.416964374	0.355837221	0.006375358	0.087339786
TRINITY_DN1011_c0_g1	80.83950683	0.410905338	0.21244212	0.001053127	0.022235203
TRINITY_DN2633_c0_g1	13.56431359	0.410242528	0.409913959	0.007579328	0.099433779
TRINITY_DN1205_c0_g1	906.3236883	0.409377549	0.249146098	0.002364094	0.042157779
TRINITY_DN3665_c0_g1	113.219051	0.408420571	0.181258648	0.000406041	0.010318411
TRINITY_DN1843_c0_g1	18.86341349	0.406184659	0.352006077	0.006949157	0.092826908
TRINITY_DN595_c0_g2	116.7781148	0.405045774	0.199800556	0.000817863	0.018521534
TRINITY_DN2891_c0_g1	26.42511336	0.401405404	0.326749605	0.006325108	0.087009436
TRINITY_DN3427_c0_g1	25.10265747	0.400251453	0.318979711	0.006060237	0.083885773
TRINITY_DN3276_c0_g1	196.5375956	0.396281704	0.145620895	9.01E-05	0.002998128
TRINITY_DN1410_c0_g1	122.2208519	0.39510383	0.183975775	0.000589814	0.014125833
TRINITY_DN2578_c0_g1	110.2296003	0.393308584	0.192196018	0.000806353	0.018385307
TRINITY_DN4206_c2_g1	34.42064938	0.391841709	0.30209006	0.005804956	0.081196207
TRINITY_DN5491_c0_g1	44.94301518	0.391385451	0.2673483	0.003990762	0.06193588
TRINITY_DN1019_c2_g1	13.46806862	0.391362979	0.389895956	0.008773616	0.111054625
TRINITY_DN8774_c0_g1	23.51165628	0.390735842	0.326722459	0.007085015	0.094155744
TRINITY_DN901_c3_g1	230.4959899	0.390467233	0.164842466	0.00029996	0.007893819
TRINITY_DN19087_c0_g1	19.2121978	0.389557564	0.35146946	0.008148467	0.105140487
TRINITY_DN4957_c0_g1	19.97346408	0.389403207	0.344130595	0.007904844	0.102526462
TRINITY_DN13378_c0_g1	32.87723167	0.388137459	0.290779024	0.005452685	0.077738709
TRINITY_DN839_c0_g1	27.21479442	0.3868346	0.319873808	0.007063857	0.094062323
TRINITY_DN3918_c0_g1	24.34163081	0.386671904	0.327832029	0.007449595	0.098216641
TRINITY_DN2381_c0_g1	18.17642211	0.383726494	0.355224728	0.008742006	0.110865289
TRINITY_DN311_c3_g1	30.7344239	0.38019958	0.305934922	0.006864706	0.092701193
TRINITY_DN3751_c1_g1	16.23203557	0.378267609	0.368447916	0.0095399	0.11740601
TRINITY_DN1180_c0_g1	45.43374313	0.377838783	0.256822372	0.00416419	0.063299498
TRINITY_DN178_c2_g4	128.6936046	0.375909355	0.175007028	0.000639904	0.014949045
TRINITY_DN4575_c0_g1	12.0276552	0.372456642	0.416297834	0.009859933	0.120454008
TRINITY_DN3128_c0_g1	88.08638857	0.368872766	0.192167222	0.001303837	0.026226416
TRINITY_DN12763_c0_g1	7.38931166	0.366986538	0.459501287	0.00802536	NA
TRINITY_DN4826_c0_g1	28.18234209	0.366931385	0.332744626	0.009424099	0.116411223
TRINITY_DN209_c0_g1	47.17456057	0.365961048	0.247008592	0.004292876	0.064959013
TRINITY_DN729_c0_g1	15.12828997	0.365958924	0.366473817	0.010623504	0.125856388
TRINITY_DN7200_c0_g1	172.9946594	0.365387429	0.148047961	0.000246209	0.006773805
TRINITY_DN3743_c3_g1	10.73018261	0.365152882	0.409996409	0.010539524	0.125307409
TRINITY_DN1838_c0_g1	17.20151716	0.36335518	0.345118741	0.010293183	0.123481105
TRINITY_DN16049_c0_g1	111.5469619	0.362438706	0.178941773	0.000990749	0.021278737
TRINITY_DN3434_c0_g1	132.4873097	0.362261975	0.163876648	0.000567858	0.01369854
TRINITY_DN2176_c0_g1	48.36308822	0.360471472	0.249147282	0.004802204	0.070780884
TRINITY_DN1445_c0_g1	76.08920854	0.359622491	0.199025623	0.001880062	0.035161377
TRINITY_DN4339_c0_g1	86.64591224	0.35883937	0.220302702	0.003054451	0.050841341
TRINITY_DN8927_c0_g1	12.9336701	0.356965639	0.381064964	0.011632533	0.133995504
TRINITY_DN6568_c0_g1	135.7016803	0.356148601	0.181432232	0.001231625	0.025076935
TRINITY_DN3702_c0_g1	47.97714156	0.355255393	0.244385839	0.004849893	0.071124643
TRINITY_DN1461_c0_g1	47.41454237	0.349957768	0.24915412	0.005610492	0.079141214
TRINITY_DN6962_c0_g1	15.11848094	0.349911486	0.355382609	0.012068132	0.137349783
TRINITY_DN6382_c0_g1	45.40910814	0.346549773	0.246605448	0.005704477	0.079981792
TRINITY_DN3342_c0_g1	10.45921975	0.34631635	0.399448736	0.012358358	0.13946093
TRINITY_DN4670_c0_g1	22.85762361	0.344839309	0.324514063	0.011465097	0.132525376
TRINITY_DN6206_c0_g1	11.15664369	0.341203345	0.40253355	0.012701516	0.141652754
TRINITY_DN4527_c0_g2	22.68324824	0.341037646	0.311717474	0.011199967	0.130823472
TRINITY_DN247_c0_g1	1163.270929	0.340651881	0.101894684	1.32E-05	0.000626852
TRINITY_DN442_c0_g1	40.9342815	0.338684277	0.252276421	0.006894504	0.092701193
TRINITY_DN1319_c1_g2	171.8628061	0.338264585	0.314278794	0.011719937	0.134305235
TRINITY_DN8038_c0_g1	28.7379552	0.336305451	0.291096046	0.010357876	0.124033701
TRINITY_DN727_c0_g1	181.880554	0.333685924	0.14035028	0.000414708	0.010498577
TRINITY_DN2691_c0_g1	279.3066371	0.333466579	0.115899307	7.95E-05	0.00274335
TRINITY_DN15939_c0_g1	102.6097625	0.333056818	0.174831715	0.001683788	0.03193921
TRINITY_DN9652_c0_g1	29.25051015	0.332610301	0.285792978	0.010420808	0.124563267
TRINITY_DN416_c5_g2	8.901522457	0.33231187	0.402897991	0.013469658	0.148233034
TRINITY_DN7740_c0_g1	10.67524703	0.331939955	0.389427115	0.014055016	0.152347571
TRINITY_DN4831_c0_g1	285.0952648	0.3313187	0.125461689	0.000181724	0.005425634
TRINITY_DN2256_c0_g1	13.46662863	0.330828534	0.357397291	0.014463229	0.154817004
TRINITY_DN2979_c1_g1	7.719615101	0.32933429	0.420718974	0.012551548	0.14068722
TRINITY_DN3256_c0_g2	558.0233577	0.325655813	0.105877617	4.28E-05	0.001704895
TRINITY_DN158_c0_g1	19.09735163	0.323037496	0.324781559	0.014517099	0.154910929
TRINITY_DN4369_c0_g1	72.01187494	0.323028678	0.228016129	0.006364109	0.087339786
TRINITY_DN3011_c0_g1	123.0906811	0.320445739	0.156142936	0.001227214	0.025063779
TRINITY_DN7664_c0_g1	113.0530434	0.319015165	0.172457523	0.002175689	0.039470677
TRINITY_DN26489_c0_g1	12.71630651	0.31807373	0.373410344	0.016114798	0.166602989
TRINITY_DN4621_c0_g1	17.67392451	0.317068268	0.327704025	0.01561964	0.16351504
TRINITY_DN4110_c0_g1	6.038278103	0.315722436	0.441796434	0.011012149	NA
TRINITY_DN6069_c0_g1	58.22577044	0.315040573	0.245170162	0.00903033	0.113274693
TRINITY_DN150_c0_g1	227.7709632	0.314964663	0.130262418	0.000438173	0.010967512
TRINITY_DN571_c0_g1	80.08705198	0.314826193	0.20242629	0.004805191	0.070780884
TRINITY_DN2906_c0_g1	18.13684185	0.314822747	0.326091238	0.015917706	0.165593887
TRINITY_DN1663_c0_g1	82.21473965	0.314372167	0.196150969	0.004284676	0.064959013
TRINITY_DN154_c0_g1	82.62942471	0.30978412	0.208093699	0.005853116	0.081698204
TRINITY_DN5879_c0_g1	5.637444592	0.307571724	0.430997433	0.012596752	NA
TRINITY_DN9926_c0_g1	28.13541993	0.307475536	0.282804035	0.014059275	0.152347571
TRINITY_DN2205_c0_g1	174.5526913	0.30549324	0.140865708	0.001014749	0.021724117
TRINITY_DN331_c0_g1	115.2432801	0.303243029	0.161075288	0.002279317	0.041015393
TRINITY_DN2521_c0_g1	26.74658748	0.300202815	0.285967991	0.015739202	0.164501095
TRINITY_DN50_c3_g1	115.4450675	0.299246136	0.16313307	0.002683967	0.046415192
TRINITY_DN1357_c0_g1	63.38713976	0.298811592	0.225273222	0.009187392	0.11459021
TRINITY_DN26077_c0_g1	23.44479513	0.298807601	0.29552563	0.016878815	0.172360657
TRINITY_DN1572_c0_g1	92.73546428	0.298442107	0.179018738	0.004132926	0.063112431
TRINITY_DN4475_c0_g1	644.0605772	0.297207329	0.09354082	4.42E-05	0.00173227
TRINITY_DN6360_c0_g1	11.31353355	0.296358574	0.36091543	0.019631168	0.19220592
TRINITY_DN177_c0_g1	31.59004074	0.296076209	0.275493736	0.015530532	0.163000943
TRINITY_DN1249_c0_g1	51.92917283	0.29606667	0.214513795	0.00831341	0.106828256
TRINITY_DN7777_c0_g1	18.42882912	0.295826387	0.323026035	0.019325164	0.190900506
TRINITY_DN1270_c0_g1	298.5894693	0.295767568	0.1123227	0.000283239	0.007573521
TRINITY_DN2767_c0_g1	105.6753871	0.29491328	0.180279694	0.004599334	0.068765478
TRINITY_DN1297_c0_g1	820.3328504	0.291599098	0.113279634	0.000360743	0.009345618
TRINITY_DN5153_c0_g1	131.5354759	0.291373367	0.15890388	0.002899486	0.048996896
TRINITY_DN8852_c0_g1	4.661021012	0.290282721	0.437165226	0.011942971	NA
TRINITY_DN6248_c0_g4	54.227181	0.289458057	0.227835194	0.011088163	0.129973573
TRINITY_DN16237_c0_g1	6.366306931	0.287477423	0.409870845	0.016439676	NA
TRINITY_DN103_c0_g1	210.2174388	0.287239758	0.176998545	0.005077848	0.07381728
TRINITY_DN956_c0_g1	46.70013118	0.287105775	0.240400683	0.013197103	0.145957325
TRINITY_DN17877_c0_g2	87.83984096	0.284747296	0.196590145	0.007784662	0.101827664
TRINITY_DN3129_c0_g1	3.92987173	0.284091773	0.460527546	0.007510442	NA
TRINITY_DN6575_c0_g2	5.412086345	0.282493371	0.425059609	0.01412006	NA
TRINITY_DN2537_c0_g1	28.55304592	0.282260341	0.277219459	0.018835241	0.187451475
TRINITY_DN2791_c0_g3	38.47360125	0.280968647	0.24332474	0.01491956	0.157924374
TRINITY_DN1871_c0_g1	152.3618794	0.280375476	0.140567753	0.002157934	0.03925554
TRINITY_DN2327_c0_g1	5.288721115	0.278971971	0.418396053	0.015404882	NA
TRINITY_DN63_c0_g1	139.3418918	0.278250956	0.152577825	0.003407713	0.055203294
TRINITY_DN337_c0_g1	73.19185553	0.277695066	0.213078457	0.011319866	0.131302556
TRINITY_DN1397_c0_g1	12.83771045	0.277336584	0.353477728	0.023357661	0.216897223
TRINITY_DN5964_c0_g1	5.338035155	0.276782451	0.419795593	0.015187911	NA
TRINITY_DN1612_c0_g1	90.87404052	0.27561385	0.172822551	0.006047795	0.083885773
TRINITY_DN591_c1_g2	41.31486811	0.275613434	0.227257243	0.013858108	0.151755398
TRINITY_DN2662_c1_g1	51.53545701	0.275347209	0.331421301	0.024153947	0.220599426
TRINITY_DN15852_c0_g1	26.53211963	0.272981778	0.267281493	0.020095623	0.19532359
TRINITY_DN2414_c0_g1	101.0454803	0.272395344	0.159737559	0.004829835	0.070986847
TRINITY_DN765_c1_g2	44.83995125	0.272343239	0.231939531	0.015337605	0.161323752
TRINITY_DN33519_c3_g1	792.7021596	0.27140323	0.097979009	0.000268418	0.007264732
TRINITY_DN1118_c1_g1	445.4556344	0.270886244	0.097266596	0.00025835	0.007026733
TRINITY_DN3123_c0_g1	31.05304358	0.270488159	0.250098158	0.018490597	0.185407223
TRINITY_DN4346_c0_g1	18.09576028	0.270228366	0.30711559	0.024648532	0.22297544
TRINITY_DN2682_c0_g1	117.3344208	0.269942585	0.150877099	0.004065825	0.062687209
TRINITY_DN11745_c0_g1	6.247145421	0.269833449	0.404765054	0.018307722	NA
TRINITY_DN393_c0_g1	26.48774172	0.269693497	0.285698554	0.023093502	0.21564732
TRINITY_DN798_c0_g1	76.59797936	0.269113101	0.194271104	0.010228332	0.1231469
