IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN3787_c0_g1	22.02177812	-0.084896602	0.1728688	0.276509902	0.730468974
TRINITY_DN2495_c0_g1	2.390975632	-0.084899954	0.279944571	0.179245676	NA
TRINITY_DN1695_c0_g1	11.90842007	-0.084908331	0.204557643	0.274617866	0.728605307
TRINITY_DN12686_c0_g1	3.471810397	-0.08492014	0.263485858	0.219708852	NA
TRINITY_DN3068_c0_g1	9.156857385	-0.084945387	0.221511885	0.26812934	0.724221154
TRINITY_DN9406_c0_g1	36.62391749	-0.085025014	0.153133427	0.273438937	0.728605307
TRINITY_DN4789_c0_g1	4.629170509	-0.085026098	0.249401595	0.242659777	NA
TRINITY_DN10224_c0_g1	5.103051387	-0.085069483	0.252630834	0.237961477	NA
TRINITY_DN3009_c4_g1	2.371529586	-0.085096893	0.279098858	0.181472028	NA
TRINITY_DN2507_c0_g1	6.399730372	-0.08511329	0.234889771	0.258231246	NA
TRINITY_DN2288_c0_g1	3.853730804	-0.085133895	0.257369529	0.230302635	NA
TRINITY_DN387_c0_g1	43.29385538	-0.085147802	0.141593019	0.270366971	0.726034092
TRINITY_DN383_c0_g2	12.23901788	-0.085239687	0.201119476	0.273886053	0.728605307
TRINITY_DN146_c0_g1	13.98999388	-0.085304696	0.295505907	0.123583496	0.535550159
TRINITY_DN286_c0_g3	10.04111126	-0.085364998	0.215081949	0.269393401	0.725281545
TRINITY_DN6035_c0_g1	56.07367722	-0.08538856	0.133960207	0.266857219	0.72283782
TRINITY_DN1065_c0_g2	9.511340474	-0.085462965	0.218536411	0.267505054	0.723503183
TRINITY_DN3131_c1_g1	7.389888948	-0.085517062	0.230125697	0.260478511	NA
TRINITY_DN2294_c0_g1	128.4025332	-0.085546528	0.104427728	0.244207732	0.706621068
TRINITY_DN5296_c0_g1	110.4026923	-0.085568398	0.110818746	0.251587628	0.713099374
